model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,DelboeufV12,0.62,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.62,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,-0.23378,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,-0.16462,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,-0.11066,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,-0.07,40,34,0.85,0.15,Left
gpt-5.2,DelboeufV12,0.93,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,0.11066,39,39,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,0.93,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,-0.23378,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,-0.16462,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,-0.11066,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,-0.07,40,9,0.225,0.775,Left
gpt-5.2,DelboeufV12,1.24,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.24,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,-0.23378,40,1,0.025,0.975,Left
gpt-5.2,DelboeufV12,1.55,-0.16462,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,-0.11066,40,1,0.025,0.975,Left
gpt-5.2,DelboeufV12,1.55,-0.07,40,40,1.0,0.0,Left
gpt-5.2,DelboeufV12,1.55,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.55,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,-0.23378,40,2,0.05,0.95,Left
gpt-5.2,DelboeufV12,1.86,-0.16462,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,-0.11066,40,3,0.075,0.925,Left
gpt-5.2,DelboeufV12,1.86,-0.07,40,3,0.075,0.925,Left
gpt-5.2,DelboeufV12,1.86,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,1.86,0.7,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,-0.7,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,-0.55124,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,-0.4252,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,-0.32001,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,-0.23378,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,-0.16462,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,-0.11066,40,0,0.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,-0.07,40,8,0.2,0.8,Left
gpt-5.2,DelboeufV12,2.17,0.07,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,0.11066,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,0.16462,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,0.23378,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,0.32001,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,0.4252,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,0.55124,40,40,1.0,1.0,Left
gpt-5.2,DelboeufV12,2.17,0.7,40,40,1.0,1.0,Left
