model,illusion,illusion_strength,true_diff,n_trials,n_positive_response,p_positive_response,accuracy,positive_option_label
gpt-5.2,RodFrame,8.0,-13.7016,100,0,0.0,1.0,Left
gpt-5.2,RodFrame,8.0,-11.2621,100,8,0.08,0.92,Left
gpt-5.2,RodFrame,8.0,-9.06157,100,65,0.65,0.35,Left
gpt-5.2,RodFrame,8.0,-7.1,100,86,0.86,0.14,Left
gpt-5.2,RodFrame,8.0,-5.37739,100,98,0.98,0.02,Left
gpt-5.2,RodFrame,8.0,-3.89375,100,45,0.45,0.55,Left
gpt-5.2,RodFrame,8.0,-2.64907,100,88,0.88,0.12,Left
gpt-5.2,RodFrame,8.0,-1.64336,100,88,0.88,0.12,Left
gpt-5.2,RodFrame,8.0,-0.87661,100,75,0.75,0.25,Left
gpt-5.2,RodFrame,8.0,-0.34882,100,64,0.64,0.36,Left
gpt-5.2,RodFrame,8.0,-0.06,100,45,0.45,0.55,Left
gpt-5.2,RodFrame,8.0,0.06,100,31,0.31,0.31,Left
gpt-5.2,RodFrame,8.0,0.34882,100,93,0.93,0.93,Left
gpt-5.2,RodFrame,8.0,0.87661,100,95,0.95,0.95,Left
gpt-5.2,RodFrame,8.0,1.64336,100,86,0.86,0.86,Left
gpt-5.2,RodFrame,8.0,2.64907,100,77,0.77,0.77,Left
gpt-5.2,RodFrame,8.0,3.89375,100,57,0.57,0.57,Left
gpt-5.2,RodFrame,8.0,5.37739,100,96,0.96,0.96,Left
gpt-5.2,RodFrame,8.0,7.1,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,8.0,9.06157,100,76,0.76,0.76,Left
gpt-5.2,RodFrame,8.0,11.2621,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,8.0,13.7016,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,10.0,-13.7016,100,38,0.38,0.62,Left
gpt-5.2,RodFrame,10.0,-11.2621,100,17,0.17,0.83,Left
gpt-5.2,RodFrame,10.0,-9.06157,100,62,0.62,0.38,Left
gpt-5.2,RodFrame,10.0,-7.1,100,79,0.79,0.21,Left
gpt-5.2,RodFrame,10.0,-5.37739,100,97,0.97,0.03,Left
gpt-5.2,RodFrame,10.0,-3.89375,100,86,0.86,0.14,Left
gpt-5.2,RodFrame,10.0,-2.64907,100,91,0.91,0.09,Left
gpt-5.2,RodFrame,10.0,-1.64336,100,90,0.9,0.1,Left
gpt-5.2,RodFrame,10.0,-0.87661,100,91,0.91,0.09,Left
gpt-5.2,RodFrame,10.0,-0.34882,100,77,0.77,0.23,Left
gpt-5.2,RodFrame,10.0,-0.06,100,36,0.36,0.64,Left
gpt-5.2,RodFrame,10.0,0.06,100,35,0.35,0.35,Left
gpt-5.2,RodFrame,10.0,0.34882,100,70,0.7,0.7,Left
gpt-5.2,RodFrame,10.0,0.87661,100,66,0.66,0.66,Left
gpt-5.2,RodFrame,10.0,1.64336,100,68,0.68,0.68,Left
gpt-5.2,RodFrame,10.0,2.64907,100,77,0.77,0.77,Left
gpt-5.2,RodFrame,10.0,3.89375,100,11,0.11,0.11,Left
gpt-5.2,RodFrame,10.0,5.37739,100,85,0.85,0.85,Left
gpt-5.2,RodFrame,10.0,7.1,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,10.0,9.06157,100,97,0.97,0.97,Left
gpt-5.2,RodFrame,10.0,11.2621,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,10.0,13.7016,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,12.0,-13.7016,100,13,0.13,0.87,Left
gpt-5.2,RodFrame,12.0,-11.2621,100,66,0.66,0.34,Left
gpt-5.2,RodFrame,12.0,-9.06157,100,88,0.88,0.12,Left
gpt-5.2,RodFrame,12.0,-7.1,100,85,0.85,0.15,Left
gpt-5.2,RodFrame,12.0,-5.37739,100,92,0.92,0.08,Left
gpt-5.2,RodFrame,12.0,-3.89375,100,84,0.84,0.16,Left
gpt-5.2,RodFrame,12.0,-2.64907,100,85,0.85,0.15,Left
gpt-5.2,RodFrame,12.0,-1.64336,100,94,0.94,0.06,Left
gpt-5.2,RodFrame,12.0,-0.87661,100,66,0.66,0.34,Left
gpt-5.2,RodFrame,12.0,-0.34882,100,59,0.59,0.41,Left
gpt-5.2,RodFrame,12.0,-0.06,100,36,0.36,0.64,Left
gpt-5.2,RodFrame,12.0,0.06,100,17,0.17,0.17,Left
gpt-5.2,RodFrame,12.0,0.34882,100,60,0.6,0.6,Left
gpt-5.2,RodFrame,12.0,0.87661,100,81,0.81,0.81,Left
gpt-5.2,RodFrame,12.0,1.64336,100,77,0.77,0.77,Left
gpt-5.2,RodFrame,12.0,2.64907,100,84,0.84,0.84,Left
gpt-5.2,RodFrame,12.0,3.89375,100,47,0.47,0.47,Left
gpt-5.2,RodFrame,12.0,5.37739,100,93,0.93,0.93,Left
gpt-5.2,RodFrame,12.0,7.1,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,12.0,9.06157,100,99,0.99,0.99,Left
gpt-5.2,RodFrame,12.0,11.2621,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,12.0,13.7016,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,14.0,-13.7016,100,17,0.17,0.83,Left
gpt-5.2,RodFrame,14.0,-11.2621,100,63,0.63,0.37,Left
gpt-5.2,RodFrame,14.0,-9.06157,100,53,0.53,0.47,Left
gpt-5.2,RodFrame,14.0,-7.1,100,95,0.95,0.05,Left
gpt-5.2,RodFrame,14.0,-5.37739,100,94,0.94,0.06,Left
gpt-5.2,RodFrame,14.0,-3.89375,100,82,0.82,0.18,Left
gpt-5.2,RodFrame,14.0,-2.64907,100,89,0.89,0.11,Left
gpt-5.2,RodFrame,14.0,-1.64336,100,98,0.98,0.02,Left
gpt-5.2,RodFrame,14.0,-0.87661,100,70,0.7,0.3,Left
gpt-5.2,RodFrame,14.0,-0.34882,100,56,0.56,0.44,Left
gpt-5.2,RodFrame,14.0,-0.06,100,60,0.6,0.4,Left
gpt-5.2,RodFrame,14.0,0.06,100,22,0.22,0.22,Left
gpt-5.2,RodFrame,14.0,0.34882,100,56,0.56,0.56,Left
gpt-5.2,RodFrame,14.0,0.87661,100,39,0.39,0.39,Left
gpt-5.2,RodFrame,14.0,1.64336,100,85,0.85,0.85,Left
gpt-5.2,RodFrame,14.0,2.64907,100,62,0.62,0.62,Left
gpt-5.2,RodFrame,14.0,3.89375,100,94,0.94,0.94,Left
gpt-5.2,RodFrame,14.0,5.37739,100,71,0.71,0.71,Left
gpt-5.2,RodFrame,14.0,7.1,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,14.0,9.06157,100,100,1.0,1.0,Left
gpt-5.2,RodFrame,14.0,11.2621,100,63,0.63,0.63,Left
gpt-5.2,RodFrame,14.0,13.7016,100,100,1.0,1.0,Left
